timestamp,value
2025-03-01T13:12:33Z,98.1
2025-03-01T13:13:33Z,97.7
2025-03-01T13:14:33Z,97.4
2025-03-01T13:15:33Z,95.8
2025-03-01T13:16:33Z,50
2025-03-01T13:17:33Z,84.1
2025-03-01T13:18:33Z,87.3
2025-03-01T13:19:33Z,90.1
2025-03-01T13:20:33Z,92.2
2025-03-01T13:21:33Z,93.2
2025-03-01T13:22:33Z,93.8
2025-03-01T13:23:33Z,93.8
2025-03-01T13:24:33Z,94.1
2025-03-01T13:25:33Z,94.8
2025-03-01T13:26:33Z,50
2025-03-01T13:27:33Z,93.8
2025-03-01T13:28:33Z,90.4
2025-03-01T13:29:33Z,88.3
2025-03-01T13:30:33Z,87.9
2025-03-01T13:31:33Z,85.6
2025-03-01T13:32:33Z,82.9
2025-03-01T13:33:33Z,81.3
2025-03-01T13:34:33Z,81
2025-03-01T13:35:33Z,50
2025-03-01T13:36:33Z,81.4
2025-03-01T13:37:33Z,82.4
2025-03-01T13:38:33Z,82.1
2025-03-01T13:39:33Z,82.3
2025-03-01T13:40:33Z,82.5
2025-03-01T13:41:33Z,50
2025-03-01T13:42:33Z,86.3
2025-03-01T13:43:33Z,89
2025-03-01T13:44:33Z,91.1
2025-03-01T13:45:33Z,92.3
2025-03-01T13:46:33Z,93.3
2025-03-01T13:47:33Z,94
2025-03-01T13:48:33Z,94.4
2025-03-01T13:49:33Z,94.1
2025-03-01T13:50:33Z,94.2
2025-03-01T13:51:33Z,94.3
2025-03-01T13:52:33Z,50
2025-03-01T13:53:33Z,94.2
2025-03-01T13:54:33Z,94.5
2025-03-01T13:55:33Z,94.5
2025-03-01T13:56:33Z,94.7
2025-03-01T13:57:33Z,91.8
2025-03-01T13:58:33Z,88.9
2025-03-01T13:59:33Z,88
2025-03-01T14:00:33Z,86.8
2025-03-01T14:01:33Z,86.3
2025-03-01T14:02:33Z,86.1
2025-03-01T14:03:33Z,50
2025-03-01T14:04:33Z,84.9
2025-03-01T14:05:33Z,50
2025-03-01T14:06:33Z,87.5
2025-03-01T14:07:33Z,90.8
2025-03-01T14:08:33Z,93
2025-03-01T14:09:33Z,94.1
2025-03-01T14:10:33Z,94.8
2025-03-01T14:11:33Z,95.1
2025-03-01T14:12:33Z,95.3
2025-03-01T14:13:33Z,95.5
2025-03-01T14:14:33Z,50
2025-03-01T14:15:33Z,95.3
2025-03-01T14:16:33Z,95.9
2025-03-01T14:17:33Z,96.3
2025-03-01T14:18:33Z,96.7
2025-03-01T14:19:33Z,96.8
2025-03-01T14:20:33Z,97.1
2025-03-01T14:21:33Z,50
2025-03-01T14:22:33Z,95.4
2025-03-01T14:23:33Z,92.5
2025-03-01T14:24:33Z,91.3
2025-03-01T14:25:33Z,89.6
2025-03-01T14:26:33Z,87.8
2025-03-01T14:27:33Z,84.5
2025-03-01T14:28:33Z,85
2025-03-01T14:29:33Z,86.5
2025-03-01T14:30:33Z,86.1
2025-03-01T14:31:33Z,84.5
2025-03-01T14:32:33Z,86.5
2025-03-01T14:33:33Z,89
2025-03-01T14:34:33Z,90.7
2025-03-01T14:35:33Z,92.4
2025-03-01T14:36:33Z,93.1
2025-03-01T14:37:33Z,93.4
2025-03-01T14:38:33Z,94
2025-03-01T14:39:33Z,93.4
2025-03-01T14:40:33Z,93.8
2025-03-01T14:41:33Z,94.2
2025-03-01T14:42:33Z,94.1
2025-03-01T14:43:33Z,94.7
2025-03-01T14:44:33Z,91.3
2025-03-01T14:45:33Z,92.6
2025-03-01T14:46:33Z,93.7
2025-03-01T14:47:33Z,50
2025-03-01T14:48:33Z,94.6
2025-03-01T14:49:33Z,95.1
2025-03-01T14:50:33Z,95.4
2025-03-01T14:51:33Z,95.6
2025-03-01T14:52:33Z,95.4
2025-03-01T14:53:33Z,95.1
2025-03-01T14:54:33Z,94.8
2025-03-01T14:55:33Z,94.4
2025-03-01T14:56:33Z,94.2
2025-03-01T14:57:33Z,93.8
2025-03-01T14:58:33Z,93.5
2025-03-01T14:59:33Z,92.9
2025-03-01T15:00:33Z,92.3
2025-03-01T15:01:33Z,92.2
2025-03-01T15:02:33Z,92
2025-03-01T15:03:33Z,50
2025-03-01T15:04:33Z,91.7
2025-03-01T15:05:33Z,90.8
2025-03-01T15:06:33Z,90.2
2025-03-01T15:07:33Z,89.6
2025-03-01T15:08:33Z,89.2
2025-03-01T15:09:33Z,88.4
2025-03-01T15:10:33Z,87.8
2025-03-01T15:11:33Z,87.2
2025-03-01T15:12:33Z,50
2025-03-01T15:13:33Z,87.2
2025-03-01T15:14:33Z,87.1
2025-03-01T15:15:33Z,87.7
2025-03-01T15:16:33Z,86.3
2025-03-01T15:17:33Z,89.4
2025-03-01T15:18:33Z,93.3
2025-03-01T15:19:33Z,96
2025-03-01T15:20:33Z,97.9
2025-03-01T15:21:33Z,98.7
2025-03-01T15:22:33Z,98.8
2025-03-01T15:23:33Z,99.3
2025-03-01T15:24:33Z,99.6
2025-03-01T15:25:33Z,99.2
2025-03-01T15:26:33Z,98.2
2025-03-01T15:27:33Z,98.2
2025-03-01T15:28:33Z,98.2
2025-03-01T15:29:33Z,98.8
2025-03-01T15:30:33Z,98.8
2025-03-01T15:31:33Z,98.6
2025-03-01T15:32:33Z,98.1
2025-03-01T15:33:33Z,50
2025-03-01T15:34:33Z,86.2
2025-03-01T15:35:33Z,83.1
2025-03-01T15:36:33Z,86.5
2025-03-01T15:37:33Z,89.3
2025-03-01T15:38:33Z,91.8
2025-03-01T15:39:33Z,92.6
2025-03-01T15:40:33Z,93.5
2025-03-01T15:41:33Z,94.2
2025-03-01T15:42:33Z,94.7
2025-03-01T15:43:33Z,95
2025-03-01T15:44:33Z,95.3
2025-03-01T15:45:33Z,95.4
2025-03-01T15:46:33Z,95.8
2025-03-01T15:47:33Z,95.8
2025-03-01T15:48:33Z,95.9
2025-03-01T15:49:33Z,95.9
2025-03-01T15:50:33Z,96
2025-03-01T15:51:33Z,96.2
2025-03-01T15:52:33Z,50
2025-03-01T15:53:33Z,96.3
2025-03-01T15:54:33Z,50
2025-03-01T15:55:33Z,93.7
2025-03-01T15:56:33Z,87
2025-03-01T15:57:33Z,50
2025-03-01T15:58:33Z,50
2025-03-01T15:59:33Z,50
2025-03-01T16:00:33Z,88.3
2025-03-01T16:01:33Z,89.1
2025-03-01T16:02:33Z,50
2025-03-01T16:03:33Z,50
2025-03-01T16:04:33Z,91.1
2025-03-01T16:05:33Z,90.3
2025-03-01T16:06:33Z,91
2025-03-01T16:07:33Z,92.3
2025-03-01T16:08:33Z,92.9
2025-03-01T16:09:33Z,92.9
2025-03-01T16:10:33Z,50
2025-03-01T16:11:33Z,92.8
2025-03-01T16:12:33Z,50
2025-03-01T16:13:33Z,50
2025-03-01T16:14:33Z,90.5
2025-03-01T16:15:33Z,89.3
2025-03-01T16:16:33Z,87.9
2025-03-01T16:17:33Z,87.6
2025-03-01T16:18:33Z,87.4
2025-03-01T16:19:33Z,87.5
