timestamp,rmssd,coverage,low_frequency,high_frequency
2025-03-12T05:10:00,161.643,0.913,4445.182,4847.454
2025-03-12T22:15:00,184.715,0.952,4222.708,5975.552
2025-03-12T22:20:00,189.066,0.932,3376.89,4124.589
2025-03-12T22:25:00,150.821,0.916,1845.013,2341.001
2025-03-12T22:30:00,155.362,0.987,1515.948,3067.966
2025-03-12T22:35:00,180.551,0.906,4507.958,4532.159
2025-03-12T22:40:00,151.621,0.942,2713.653,3667.402
2025-03-12T22:45:00,166.889,0.973,2658.49,4057.571
2025-03-12T22:50:00,150.539,0.996,2104.928,3722.036
2025-03-12T22:55:00,153.326,0.995,2024.606,3829.002
2025-03-12T23:00:00,157.342,0.892,4402.509,4272.253
2025-03-12T23:05:00,150.162,1.004,1405.038,3926.958
2025-03-12T23:10:00,137.453,0.99,2354.857,2900.304
2025-03-12T23:15:00,146.71,1.003,2058.159,3328.393
2025-03-12T23:20:00,138.754,1.004,2270.314,2713.112
2025-03-12T23:25:00,136.328,1.001,2372.327,2861.366
2025-03-12T23:30:00,155.922,0.888,5620.422,4431.337
2025-03-12T23:35:00,99.33,0.92,5287.12,1473.062
2025-03-12T23:40:00,87.782,0.962,2557.407,1234.563
2025-03-12T23:45:00,148.324,0.864,5449.784,2403.81
2025-03-12T23:50:00,117.526,0.813,7793.235,2701.003
2025-03-12T23:55:00,176.644,0.872,4311.744,4042.876
2025-03-13T00:00:00,188.826,0.977,4364.562,6826.797
2025-03-13T00:05:00,170.664,1.007,1365.597,4869.558
2025-03-13T00:10:00,159.45,1.004,2986.707,3645.949
2025-03-13T00:15:00,169.585,0.979,1253.433,4125.343
2025-03-13T00:20:00,169.891,1.004,1473.207,4206.288
2025-03-13T00:25:00,174.503,0.999,1487.535,4782.426
2025-03-13T00:30:00,172.244,0.977,1911.234,4834.122
2025-03-13T00:35:00,169.779,1.003,1601.502,4855.506
2025-03-13T00:40:00,179.624,0.917,7774.19,5284.473
2025-03-13T00:45:00,167.971,0.931,4802.657,4864.251
2025-03-13T00:50:00,157.933,1.005,7589.155,4706.621
2025-03-13T00:55:00,166.085,1.005,2267.73,4204.985
2025-03-13T01:00:00,184.841,0.874,9414.256,3713.392
2025-03-13T01:05:00,215.968,0.877,4564.621,7388.242
2025-03-13T01:10:00,205.493,0.954,4065.851,5298.903
2025-03-13T01:15:00,153.642,0.944,4369.068,3591.008
